Property type,Rooms,Floor,Furnished,Balcony,Available from,Monthly net rent,Utilities,Deposit,Prepaid rent,Move-in price,Creation Date,district
Apartment,3,0,No,Yes,2024-04-03,12660,1100,37980,12660,64400,2024-02-26,Amager Vest
Apartment,2,0,Yes,Yes,2024-04-03,12475,600,37425,12475,62975,2024-02-26,Amager Vest
Apartment,3,1,No,Yes,2024-04-03,13115,1100,39345,13115,66675,2024-02-26,Amager Vest
Townhouse,5,0,No,No,2024-04-03,16588,1500,49764,16588,84440,2024-02-26,Amager Vest
Apartment,5,2,Yes,Yes,2024-04-03,30000,5000,30000,60000,125000,2024-02-23,Amager Øst
Apartment,1,1,Yes,No,2024-04-03,10000,550,20000,10000,40550,2022-10-12,Amager Vest
Apartment,2,11,No,Yes,2024-04-03,12900,600,38700,12900,65100,2024-02-23,Amager Vest
Apartment,3,9,No,Yes,2024-04-03,14400,1000,43200,14400,73000,2024-02-23,Amager Vest
Apartment,3,5,Yes,Yes,2024-04-03,8000,0,8000,8000,24000,2024-02-22,Amager Vest
Apartment,2,3,No,Yes,2024-04-03,9865,900,29595,29595,69955,2024-02-22,Amager Vest
Room,1,4,Yes,Yes,2024-04-03,3500,0,3500,0,7000,2024-02-20,Amager Vest
Townhouse,4,0,No,Not specified,2024-04-03,19900,1200,59700,59700,140500,2024-02-20,Amager Øst
Apartment,4,1,No,Yes,2024-04-03,15000,950,45000,15000,75950,2024-02-20,Amager Vest
Apartment,4,12,No,No,2024-04-03,16600,1200,49800,16600,84200,2024-02-20,Amager Vest
Apartment,5,3,No,Yes,2024-04-03,18100,1250,54300,18100,91750,2024-02-20,Amager Vest
Apartment,2,0,No,Yes,2024-04-03,10915,750,32745,10915,55325,2024-02-19,Amager Vest
Apartment,3,8,No,Yes,2024-04-03,25000,0,75000,0,100000,2024-02-19,Amager Øst
Apartment,3,2,No,Yes,2024-04-03,14935,1200,44805,14935,75875,2024-02-16,Amager Vest
Room,1,0,Yes,No,2024-04-03,6500,0,1000,6500,14000,2024-02-15,Amager Vest
Apartment,3,6,No,Yes,2024-04-03,14750,900,29500,14750,59900,2024-02-15,Amager Vest
Apartment,3,5,No,Yes,2024-04-03,13950,700,41850,13950,70450,2024-02-14,Amager Vest
Apartment,4,3,No,Yes,2024-04-03,17000,1100,51000,17000,86100,2024-02-14,Amager Vest
Room,1,0,No,No,2024-04-03,5500,500,5000,0,11000,2024-02-09,Amager Vest
Room,1,3,No,Yes,2024-04-03,6000,0,16200,6000,28200,2024-02-14,Amager Vest
Room,1,4,Yes,Yes,2024-04-03,4536,464,5000,5000,15000,2024-02-13,Amager Øst
Apartment,4,2,No,No,2024-04-03,20000,1200,60000,,81200,2024-02-13,Amager Vest
Room,1,1,Yes,Yes,2024-04-03,6500,0,12000,0,18500,2024-02-10,Amager Øst
Apartment,2,0,No,Not specified,2024-04-03,13000,,39000,,52000,2024-02-09,Amager Vest
Apartment,2,0,No,Yes,2024-04-03,12700,650,38100,12700,64150,2024-02-09,Amager Vest
Apartment,2,3,No,Yes,2024-04-03,12650,750,25300,12650,51350,2024-02-08,Amager Vest
Apartment,3,1,No,Yes,2024-04-03,14950,950,44850,14950,75700,2024-02-08,Amager Øst
Apartment,5,0,No,No,2024-04-03,17400,1000,52200,17400,88000,2024-02-07,Amager Vest
Apartment,3,7,No,Yes,2024-04-03,14950,1000,14950,14950,45850,2024-02-07,Amager Vest
Apartment,2,0,No,Yes,2024-04-03,11900,600,35700,11900,60100,2024-02-07,Amager Vest
Apartment,3,5,No,Yes,2024-04-03,13950,700,41850,13950,70450,2024-02-07,Amager Vest
Apartment,2,0,No,Not specified,2024-04-03,14200,,42600,,56800,2024-02-06,Amager Vest
Apartment,3,5,No,Yes,2024-04-03,17500,1660,52500,17500,89160,2024-02-05,Amager Vest
Apartment,3,0,No,Yes,2024-04-03,12250,800,36750,12250,62050,2024-01-31,Amager Vest
Apartment,3,4,No,No,2024-04-03,12900,,38700,12900,64500,2024-01-30,Amager Vest
Apartment,2,2,No,Yes,2024-04-03,13450,800,40350,13450,68050,2024-01-30,Amager Øst
Apartment,3,0,No,Yes,2024-04-03,13900,650,41700,13900,70150,2024-01-29,Amager Vest
Apartment,2,5,No,Yes,2024-04-03,12800,600,38400,12800,64600,2024-01-29,Amager Vest
Apartment,1,3,Yes,Yes,2024-04-03,12500,550,25000,12500,50550,2024-01-29,Amager Vest
